sno.,name,cuisine,course,diet, price 
1,Mint Vegetables Moilee . (Mixed Vegetables Cooked In Minty Coconut Milk),Kerala  .,Lunch,Vegetarian, $15.00 
2,Potato And Peas Curry  In Coconut Milk Gravy,Indian,Main Course,Vegetarian, $5.00 
3,Whole Wheat Chocolate Chip Pancakes With Apples .,Continental,World Breakfast,Vegetarian, $15.00 
4,Kollu Pachadi . (Sprouted Horse gram Raita .),Tamil Nadu,Side Dish,Diabetic Friendly, $10.00 
5,. Bed Belts, Indian  .,Lunch,Non Vegeterian, $10.00 
6,Vietnamese Rice Noodle Salad .,Vietnamese,Appetizer,High Protein Vegetarian, $15.00 
7,Chettinad Vengaya Kosu . (Spicy Curry from Chettinad Cuisine),Chettinad,Lunch,Vegetarian, $15.00 
8,Vankaya Ulli Karam . - Eggplant In Spicy Onion Gravy, Indian,Side Dish,Vegetarian, $10.00 
9,Indo Chinese Prawn And Chicken Fried Rice .,Thai,Dinner,Non Vegeterian, $20.00 
10,Kathiyawadi Stuffed Onion ., Indian,Side Dish,Vegetarian, $10.00 
11,Kodava Kummu Curry .- Coorg Style Mushroom Curry ,Coorg,Lunch,Vegetarian, $10.00 
12,Shrimp Stir Fry With Cheesy Dip Mayo .,Asian,Side Dish,Non Vegetarian, $15.00 
13,Haryanvi Saag Gosht ., Indian,Dinner,Non Vegetarian, $20.00 
14,Summer Lettuce Salad .,Continental,Appetizer,Vegan, $20.00 
15,Fenugreek Spiced Sardine Fish Curry .,Indian,Side Dish,Non Vegetarian, $10.00 
16,Konkani Style Karate Batate Puddi Sagle . - Bitter Gourd & Potato Curry,Konkan,Dinner,Vegetarian, $10.00 
17,Raw Papitha No Sambharo . , Indian,North Indian Breakfast,Diabetic Friendly, $10.00 
18, Indian Style  Sandige Huli .: A Toor Dal Dumplings in Tangy Gravy, Indian,Lunch,Vegetarian, $200.00 
19,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing . ",Continental,Appetizer,Vegetarian, $15.00 
20,Egg And Ridge Gourd Burji - Peerkangai Muttai Poriyal .,South Indian  .,Lunch,Eggetarian, $10.00 
21,Savory Waffles With Roasted Peppers In Sun Dried Tomato Pesto . ,Continental,World Breakfast,Eggetarian, $10.00 
22,Kathirikai Pitlai . - South Indian Tangy & Spicy Brinjal Curry,Tamil Nadu,Side Dish,Vegetarian, $20.00 
23,Soya Methi Sabzi . | Made from Soya Chunks,Indian,Main Course,Vegetarian, $30.00 
24,Mutton Khurdi . - Bohra Style White Mutton Stock Soup , Indian,Appetizer,Non Vegeterian, $10.00 
25,Kathirikai Pitlai . - South Indian Tangy & Spicy Brinjal Curry ,Tamil Nadu,Side Dish,Vegetarian, $20.00 
26,Soya Methi Sabzi . | Made from Soya Chunks,Indian,Main Course,Vegetarian, $30.00 
27,Mutton Khurdi . - Bohra Style White Mutton Stock Soup , Indian,Appetizer,Non Vegeterian, $10.00 
28,Senai Kizhangu Gotsu . - Spicy & Tangy Yam Curry .,Tamil Nadu,Lunch,Vegetarian, $10.00 
29,Avocado Parsley Pasta Salad .,Italian,Side Dish,Vegetarian, $10.00 
30,Coriander Tamarind Millet Rice .,Indian,Lunch,Vegetarian, $10.00 
31,Karwar NKGSB style Vataane Ananasaa Shaak .- Pineapple & White Peas Sabzi, Indian,Main Course,Vegetarian, $25.00 
32, Buckwheat & Oat Waffle .: A Decadent Treat with Bananas & Creamy Vanilla Ice Cream,Continental,Dessert,Vegetarian, $30.00 
33,Zesty Sunshine Delight: Homemade Lemon Cookie .,Continental,Snack,Vegetarian, $20.00 
